text,score,category
她必须小心应对，否则不仅会失去项目，还可能危及公司,55.0,9.商战职场高评分样本
陈雪与对手在谈判桌上唇枪舌战，每一句话都暗藏杀机,45.0,9.商战职场高评分样本
她必须用智慧和勇气来应对这场商业斗争，稍有不慎就会万劫不复,45.0,9.商战职场高评分样本
陈雪站在飞船的驾驶舱里，面对着浩瀚的宇宙，她知道今天将决定人类的命运,36.0,10.科幻未来高评分样本
外星人的目光如鹰隼般锐利，让她感到巨大的压力,45.0,10.科幻未来高评分样本
陈雪在太空中揭露了外星人的阴谋，但对方早有准备，反而倒打一耙,85.0,10.科幻未来高评分样本
她必须小心应对，否则不仅会失去地球，还可能危及人类,76.0,10.科幻未来高评分样本
陈雪与外星人在太空中唇枪舌战，每一句话都暗藏杀机,65.0,10.科幻未来高评分样本
她必须用智慧和勇气来应对这场星际斗争，稍有不慎就会万劫不复,75.0,10.科幻未来高评分样本
他没发现吧，我告诉她，我今天加班,65.0,情感互动高评分样本
高兴坏了吧，我的三张K，你的三张A，我又换不了你的牌，而我的牌，就算我用千术，不管怎么换，都赢不了三张A，看起来我必输无疑，但是我既然敢和你玩，就不会输，想知道我是怎么赢的吗，等会，我就让你笑不出来,76.0,对话场景
一个从工地出身的季明秀，在拍卖场为老板女友，举牌3个亿拍下原本是女友奶奶的绿宝石项链，可女友根本就没有那么多钱，成交后女友十分记恨季明秀，还想流拍，但最后主持人却说已经有人付过款了,79.0,赌场
身价千亿的总裁开车回老家，差点撞上一个拾荒的老奶奶，将她扶起后，老奶奶将她身上唯一值钱的橘子，再用寻人启事的纸撕下一点包起来送给总裁，并将自己熬橘子皮的土方法交给了他便下车蹒跚的走回去，总裁感到震惊，因为这个土方法和小时候目前给自己熬的一模一样，正当总裁怀疑时，突然发现包橘子的寻人启事上的玉佩和母亲留给自己的那个一模一样,68.0,动作场面
